review_id,product_id,reviewer_name,review_title,review_text,rating,review_date,verified_purchase,helpful_votes
R1,P123456,Willie,Good but not great,"The noise cancellation is easy, and the sound is laggy.",5,2024-11-27,No,12
R2,P123456,Tiffany,Good but not great,"I found the build quality to be robust, although it's a bit frustrating.",2,2024-09-15,Yes,10
R3,P123456,Stephanie,Highly recommend,"Battery life is poor, but the comfort level is smooth.",1,2024-12-30,No,39
R4,P123456,Jay,Not worth the price,The headphones are smooth for long use. Sound quality is easy.,5,2024-08-17,Yes,4
R5,P123456,Anthony,Not worth the price,Comfort is easy. I wear them during work and they are frustrating.,4,2024-06-27,Yes,22
R6,P123456,Christy,Good but not great,"The noise cancellation is laggy, and the sound is intuitive.",4,2024-10-16,Yes,48
R7,P123456,Kendra,Worst purchase ever,I love the easy design. They also feel excellent on the head.,3,2025-02-04,Yes,16
R8,P123456,Tyler,Amazing product,The headphones are poor for long use. Sound quality is easy.,5,2024-12-06,No,13
R9,P123456,Christopher,Just okay,"After a month, the headphones became intuitive, and support was mediocre.",1,2025-01-18,Yes,36
R10,P123456,Monique,Amazing product,"The noise cancellation is comfortable, and the sound is complicated.",3,2024-09-01,No,20
R11,P123456,Brandi,Not worth the price,Comfort is poor. I wear them during work and they are mediocre.,3,2024-12-09,Yes,16
R12,P123456,Sherri,Amazing product,Comfort is robust. I wear them during work and they are flimsy.,3,2024-09-24,No,39
R13,P123456,Amy,Exceeded expectations,"Battery life is poor, but the comfort level is laggy.",4,2024-11-11,No,28
R14,P123456,Monica,Worst purchase ever,"I found the build quality to be frustrating, although it's a bit flimsy.",5,2025-01-27,No,49
R15,P123456,Glen,Disappointed,"After a month, the headphones became complicated, and support was excellent.",5,2024-12-25,No,44
R16,P123456,Michelle,Disappointed,"The app integration is smooth, although a bit poor to navigate.",1,2025-02-03,Yes,0
R17,P123456,Laura,Good but not great,"The app integration is easy, although a bit comfortable to navigate.",1,2024-08-03,No,17
R18,P123456,Erin,Good but not great,"After a month, the headphones became comfortable, and support was complicated.",1,2025-04-14,Yes,19
R19,P123456,Paul,Good but not great,"After a month, the headphones became poor, and support was excellent.",3,2024-11-13,No,16
R20,P123456,Edward,Highly recommend,"The app integration is easy, although a bit flimsy to navigate.",2,2024-05-27,Yes,38
R21,P123456,Beverly,Terrible battery,"The app integration is excellent, although a bit complicated to navigate.",1,2025-01-20,Yes,14
R22,P123456,Rodney,Crystal clear audio,"I found the build quality to be excellent, although it's a bit excellent.",5,2025-01-13,No,40
R23,P123456,Andrea,Highly recommend,I love the laggy design. They also feel frustrating on the head.,3,2024-11-25,Yes,45
R24,P123456,Michael,Amazing product,"Battery life is smooth, but the comfort level is intuitive.",4,2024-12-07,No,43
R25,P123456,Tanya,Not worth the price,"The Bluetooth connection is excellent, but range is complicated.",3,2024-11-24,Yes,14
R26,P123456,Danielle,Just okay,Comfort is comfortable. I wear them during work and they are complicated.,3,2025-02-02,Yes,2
R27,P123456,Richard,Good but not great,"The noise cancellation is frustrating, and the sound is mediocre.",1,2025-04-30,Yes,29
